Avancement;Profondeur 1;Profondeur 2;Profondeur 3;Profondeur 4;Profondeur 5;Profondeur 6;Profondeur 7;Profondeur 8
31;107800;409400;1057600;2609100;11233600;22446900;103433200;269167800
31;126000;220900;1599700;3866000;23167000;45761800;317727500;550009700
18;93400;484600;1969600;5903900;15306200;74656900;188434600;1257638700
28;99500;333500;2110600;7856700;48641600;160877500;981676900;2610217400
11;57100;255000;915500;3992000;22281700;96265300;497171900;1646446700
20;83800;563100;3354000;18492200;95225200;539840700;1777708100;10492220900
38;127100;266600;1987600;4896200;29062200;82859400;502605500;1429705900
28;118000;397200;2821000;5914100;62702600;126482400;975119400;1801331000
28;89100;299100;3079500;9439000;115905600;313926100;3334666200;10681464800
42;103900;422200;2427700;9753700;32671000;88338500;519097700;720063500
40;115400;540200;2730800;8129500;68538000;121884100;986613500;1534004000
42;72000;129200;621100;1004700;4077500;15422300;62425600;165686100
26;116600;681300;3515000;17916500;107205600;505763300;2745672500;11058881700
48;60500;193200;518000;3626700;4855500;27013500;40435100;96189900
23;96400;447000;2662600;12061700;82095700;368579500;1986768800;12078234400
33;130900;1079100;9493600;83411500;642936900;6015306700;18469043100;407428070800
26;103000;582400;2824000;16082200;57214500;492934800;882748900;7555076600
46;87100;176100;660700;1682000;9765500;24055000;103189500;192426800
25;113700;343800;2762300;6297800;48417300;117982400;877959500;1655139000
16;120300;372700;2804800;7887000;91962400;232213300;2479928900;5990405500
31;96800;507600;2174500;8297000;126222200;527507700;3467521600;10369631900
17;105700;366400;2981700;11262400;105821100;336986800;2872212700;11115925700
28;64100;298000;784300;4969200;29236400;142132800;613195800;2557042700
42;123700;461400;2046300;7581700;45783600;120161600;564788400;1154280000
43;78900;254100;1308600;2044900;17083400;28062400;104638700;169909400
28;131700;713400;4232300;14412500;103497600;247818900;1494511500;2980283200
21;93800;531000;4020700;21859300;118280000;588342200;3265754900;12867179000
