Avancement;Indice Position;Profondeur 1;Profondeur 2;Profondeur 3;Profondeur 4;Profondeur 5;Profondeur 6;Profondeur 7;Profondeur 8
18;100;-19;13;-19;13;-19;14;-20;14
18;100;0;0;0;0;0;0;0;0
18;100;0;0;0;0;0;0;0;0
18;100;0;0;0;0;0;0;0;0
18;100;0;0;0;0;0;0;0;0
18;100;0;0;0;0;0;0;0;0
18;100;0;0;0;0;0;0;0;0
18;100;0;0;0;0;0;0;0;0
18;100;0;0;0;0;0;0;0;0
18;100;0;0;0;0;0;0;0;0
18;100;-21;26;-5;25;0;30;-4;25
18;100;2;31;0;31;2;34;4;34
18;100;-20;15;-14;18;-14;18;-13;0
18;100;-5;25;-6;26;-5;27;-5;0
18;100;-10;19;-12;18;-14;18;-14;18
18;100;-21;2;-33;2;-31;3;-32;0
18;100;-16;18;-16;18;-17;19;-18;2
18;100;-13;22;-13;22;-13;23;-14;0
18;100;-10;23;-9;23;-9;0;0;0
18;100;-29;5;-28;5;-29;22;-9;18
18;100;-14;19;-15;17;-15;16;-17;0
18;100;-11;21;-12;22;-11;23;-11;0
18;100;-14;21;-14;22;-13;22;-13;23
18;100;-13;19;-11;20;-12;19;0;0
18;100;-9;20;-8;22;-7;25;-12;23
18;100;-15;20;-15;21;-14;21;-15;0
18;100;-13;21;-12;22;-11;23;0;0
18;100;-11;19;-11;18;-12;18;-9;0
18;100;-8;21;-7;22;-7;22;-12;0
18;100;-9;23;-8;23;-9;24;-7;0
18;100;-12;24;-9;26;-8;26;-6;0
18;100;-12;14;-10;15;-10;16;-12;24
18;100;-10;21;-10;22;-11;22;-11;0
18;100;-12;22;-11;22;-11;0;0;0
18;100;-15;21;-16;22;-15;22;-15;22
18;100;-9;18;-9;16;-11;15;-10;0
18;100;-17;16;-15;12;-16;13;0;0
18;100;-17;19;-18;20;-18;21;-18;16
18;100;-12;18;-12;18;-14;18;-14;13
18;100;-29;3;-29;3;-30;3;-28;4
18;100;-5;23;-6;24;-5;25;-5;0
18;100;-16;18;-16;17;-17;17;0;0
18;100;-10;21;-10;21;-11;0;-17;0
18;100;-11;22;-11;21;-12;21;-12;26
18;100;-18;19;-10;20;-9;23;0;0
18;100;-11;21;-11;22;-10;22;-10;0
18;100;-17;19;-14;21;-11;22;-10;20
18;100;-6;24;-6;24;-5;24;-7;0
18;100;-12;22;-11;21;-11;21;-11;18
18;100;-14;21;-14;20;-15;21;0;0
18;100;-2;27;-3;27;-1;28;0;0
18;100;-21;13;-20;13;-22;12;-22;21
18;100;-19;15;-18;15;-17;17;-18;0
18;100;-22;15;-21;16;-22;16;-22;10
18;100;-13;18;-12;19;-11;21;0;0
18;100;-22;13;-21;14;-20;15;0;0
18;100;-8;26;-8;27;-8;28;-20;28
18;100;-6;24;-7;24;-8;25;-7;0
18;100;2;33;5;33;5;35;5;25
18;100;-14;17;-16;18;-15;18;0;23
18;100;-15;22;-14;20;-14;21;-14;15
18;100;-13;18;-11;18;-15;18;-16;0
18;100;1;31;1;33;1;32;1;18
18;100;2;35;3;38;5;39;6;40
18;100;-14;21;-14;21;-14;22;-14;0
18;100;-8;24;-9;24;-8;25;-8;21
18;100;-15;15;-16;17;-15;16;0;0
18;100;-20;11;-21;10;-22;10;-16;22
18;100;-11;21;-11;22;-11;23;-10;0
18;100;-8;20;-7;21;-6;20;0;0
18;100;-1;29;-2;26;-3;25;0;20
18;100;-19;16;-19;17;-20;17;-20;25
18;100;0;33;1;34;1;34;2;17
18;100;-13;20;-12;22;0;0;0;0
18;100;-15;19;-14;20;-14;20;0;23
18;100;-8;26;-7;28;-6;27;-10;30
18;100;-16;19;-16;18;-16;19;0;0
18;100;-15;20;-15;20;-15;20;-14;0
18;100;-17;17;-15;16;-16;16;0;0
18;100;-14;21;-13;23;-13;24;-12;18
18;100;-16;21;-13;22;-13;22;-11;25
18;100;-12;19;-12;19;-13;19;-13;24
18;100;-16;18;-13;21;-12;22;-12;24
18;100;-5;26;-6;28;-4;0;0;0
18;100;-17;18;-18;17;-18;15;-19;0
18;100;-15;21;-14;21;-14;22;-14;28
18;100;-19;18;-18;18;-18;19;0;0
18;100;-11;24;-11;24;-11;24;-11;22
18;100;-9;23;-9;23;-8;24;-8;0
18;100;-15;19;-13;19;-13;19;0;0
18;100;-10;22;-10;22;-10;23;-13;0
18;100;0;27;-1;27;-1;0;0;0
18;100;-13;21;-12;22;-12;28;0;24
18;100;-5;29;0;30;2;30;1;23
18;100;-18;10;-19;12;-17;12;-17;0
18;100;4;39;3;37;4;0;0;0
18;100;-6;20;-11;15;-15;36;4;12
18;100;-10;23;-11;24;-7;0;0;0
18;100;-13;20;-15;19;-15;23;-5;35
18;100;-10;22;-11;20;-14;19;-13;18
19;100;20;-13;21;-13;21;-12;21;-12
19;100;13;-15;15;-15;13;-15;12;0
19;100;26;-1;30;-1;27;0;0;0
19;100;15;-14;15;-15;17;-1;0;0
19;100;12;-22;11;-22;11;0;0;0
19;100;9;-17;13;-18;15;-18;14;0
19;100;23;-12;21;-12;21;-12;20;-18
19;100;25;-9;25;-9;25;0;0;0
19;100;14;-19;13;-19;13;-8;26;0
19;100;20;-15;22;-15;22;0;0;0
19;100;30;-2;30;-3;30;-4;30;-20
19;100;17;-17;17;-16;19;-14;0;-5
19;100;20;-16;20;-15;21;-16;20;-8
19;100;8;-25;6;-26;6;-26;6;0
19;100;22;-5;26;-3;0;0;0;0
19;100;20;-10;24;-10;25;-4;26;-26
19;100;16;-20;16;-20;14;-20;0;0
19;100;16;-16;16;-16;17;-15;13;-4
19;100;17;-16;17;-16;14;-16;14;-20
19;100;24;-8;23;-9;20;-9;22;0
19;100;19;-13;19;-11;20;-11;21;-10
19;100;16;-18;16;-16;18;0;0;0
19;100;18;-15;16;-12;20;-12;21;0
19;100;22;-10;23;-11;22;-11;23;-18
19;100;21;-14;19;-15;20;-12;0;0
19;100;16;-20;17;-20;18;-20;17;-10
19;100;20;-13;20;-16;21;-15;22;0
19;100;20;-17;20;-16;20;-16;20;-20
19;100;13;-16;16;-17;16;-17;15;-16
19;100;18;-13;20;-12;22;-12;0;0
19;100;24;-7;24;-7;25;0;0;0
19;100;12;-20;11;-20;13;-8;26;-10
19;100;0;-35;1;-33;2;-32;0;0
19;100;17;-14;18;-10;24;-6;29;-5
19;100;20;-15;21;-15;22;0;0;0
19;100;10;-21;11;-22;10;-24;3;0
19;100;17;-17;18;-17;18;-15;22;-6
19;100;16;-18;18;-17;17;-16;0;0
19;100;18;-11;18;-9;18;-10;17;-17
19;100;17;-17;18;-18;18;-17;0;0
19;100;19;-11;21;-11;22;-11;22;0
19;100;18;-17;17;-17;16;-18;19;-16
19;100;16;-19;16;-19;18;-18;20;0
19;100;28;-3;27;-3;27;-5;27;-31
19;100;14;-17;15;-17;16;-17;14;-18
19;100;20;-17;21;-17;22;-16;0;0
19;100;19;-16;20;-15;20;-13;20;0
19;100;26;-6;24;-10;24;-10;24;-16
19;100;24;-11;24;-9;24;-9;0;0
19;100;17;-18;18;-18;17;-19;16;0
19;100;21;-13;22;-12;21;-12;20;-11
19;100;18;-17;15;-18;14;-19;13;0
19;100;8;-27;5;-29;6;-29;6;-20
19;100;21;-14;21;-13;23;-13;23;-12
19;100;20;-11;20;-12;20;-13;0;0
19;100;21;-16;18;-15;18;-18;19;-29
19;100;15;-22;12;-21;10;-22;12;-13
19;100;18;-17;19;-17;19;-17;19;0
19;100;21;-13;18;-14;16;-16;16;-17
19;100;12;-21;12;-22;12;-23;11;-24
19;100;18;-13;16;-16;14;-16;0;0
19;100;16;-19;16;-18;17;-19;18;-18
19;100;13;-21;13;-18;16;-17;0;0
19;100;22;-13;23;-12;22;-11;23;0
19;100;9;-22;9;-21;10;-21;0;-15
19;100;7;-18;10;-18;11;-18;11;-21
19;100;20;-12;23;-12;23;-13;21;0
19;100;7;-23;9;-25;8;-24;8;0
19;100;13;-19;16;-19;18;-18;19;-13
19;100;13;-24;15;-25;14;-25;0;0
19;100;1;-28;2;-26;1;-27;15;-25
19;100;18;-18;19;-18;19;-17;21;0
19;100;18;-11;18;-12;20;-10;21;-16
19;100;18;-17;20;-16;22;-16;22;-9
19;100;28;-1;29;-1;29;-1;30;0
19;100;10;-24;9;-26;5;-29;3;-31
19;100;19;-17;20;-17;19;-17;0;0
19;100;10;-20;10;-21;9;-22;18;-19
19;100;21;-11;21;-10;22;-10;23;-10
19;100;18;-14;18;-12;18;-12;18;0
19;100;23;-11;22;-10;22;-10;22;-12
19;100;17;-19;16;-18;18;-17;19;-17
19;100;14;-16;16;-17;17;-17;17;-16
19;100;15;-19;17;-17;18;-17;0;0
19;100;13;-25;13;-25;14;-25;18;-17
19;100;17;-17;18;-16;17;-15;18;-16
19;100;9;-20;10;-21;12;-20;12;-19
19;100;11;-20;14;-21;13;-20;13;0
19;100;17;-15;19;-14;20;-13;21;-20
19;100;20;-14;20;-16;20;-15;21;-14
19;100;22;-12;22;-12;22;-13;21;-14
19;100;20;-9;20;-10;21;-9;21;-15
19;100;19;-15;19;-15;20;-15;20;0
19;100;25;-6;24;-6;24;-7;25;-10
19;100;14;-17;14;-17;16;-16;0;0
19;100;19;-16;20;-14;20;-12;22;0
19;100;26;-5;26;-5;27;-5;0;0
19;100;19;-10;20;-9;22;-10;22;-16
19;100;3;-29;3;-30;4;-26;7;-27
19;100;10;-18;15;-13;20;-13;0;0
20;100;-3;29;-3;28;0;30;1;0
20;100;-12;20;-15;21;-15;21;-15;21
20;100;-6;24;-9;23;-7;25;0;0
20;100;-5;26;0;27;2;35;-8;0
20;100;-16;21;-15;23;-15;22;-14;32
20;100;-20;12;-21;12;-21;13;-21;24
20;100;-18;10;-18;12;-19;12;-19;23
20;100;-14;20;-16;17;-16;15;0;0
20;100;-9;26;-10;28;-9;27;-9;13
20;100;-15;18;-16;18;-16;18;0;0
20;100;-18;17;-19;17;-19;17;-15;16
20;100;4;33;4;34;3;34;3;19
20;100;-18;15;-14;16;-13;17;0;0
20;100;-15;21;-15;22;-12;21;0;0
20;100;-12;23;-13;24;-13;23;-12;0
20;100;-19;14;-19;15;-20;15;-12;15
20;100;-15;20;-13;21;-12;22;-8;25
20;100;-16;17;-17;16;-19;14;-20;12
20;100;-20;17;-21;17;-21;16;-22;17
20;100;-7;20;-7;23;-6;25;-5;0
20;100;-11;22;-12;23;-12;24;-12;0
20;100;-5;28;0;29;1;30;0;0
20;100;-18;19;-17;20;-17;21;-16;21
20;100;-16;18;-18;19;-18;19;-18;19
20;100;-22;13;-20;13;-21;11;-22;0
20;100;-15;20;-15;21;-15;22;0;11
20;100;-12;20;-14;19;-14;21;-15;22
20;100;-15;20;-14;21;-15;20;0;18
20;100;-8;26;-7;26;-8;26;-15;0
20;100;-13;22;-14;20;-13;20;-8;21
20;100;-14;16;-15;18;-14;19;0;0
